sending slot 0
slot 1, parent 5, max_prob 96, total 150 ==>  setting strategy, parent 5 
slot 11, parent 0, max_prob 84, total 150 ==>  setting strategy, parent 0 
slot 12, parent 7, max_prob 81, total 150 ==>  setting strategy, parent 7 
sent=10, activity=6.60%
sent=20, activity=3.80%
sent=30, activity=3.80%
sent=40, activity=3.70%
sent=50, activity=3.70%
sent=60, activity=3.50%
sent=70, activity=3.90%
sent=80, activity=3.70%
sent=90, activity=3.70%
sent=100, activity=3.80%
sent=110, activity=3.80%
sent=120, activity=3.70%
sent=130, activity=3.80%
sent=140, activity=3.80%
sent=150, activity=3.70%
sent=160, activity=3.70%
sent=170, activity=3.80%
sent=180, activity=3.90%
sent=190, activity=3.70%
sent=200, activity=3.80%
sent=210, activity=3.80%
sent=220, activity=3.70%
